label,C_wt_percent,Mn_wt_percent,P_wt_percent,S_wt_percent,yield_strength_MPa,ultimate_tensile_strength_MPa,uniform_strain,fracture_strain,youngs_modulus_MPa
Base steel,0.05,0.5,0.01,0.01,457.7461179749811,671.146117974981,0.09552786404500041,0.20305572809000083,210000.0
Higher carbon,0.25,0.5,0.01,0.01,706.5,969.9,0.09,0.192,210000.0
Low impurity,0.02,0.3,0.003,0.003,363.4792206135786,561.4992206135786,0.10567157287525382,0.22894314575050762,210000.0
Phosphorus-rich,0.05,0.5,0.04,0.01,493.7461179749811,704.7461179749811,0.06852786404500041,0.13705572809000083,210000.0
Mn-strengthened,0.05,1.5,0.01,0.01,492.7461179749811,751.146117974981,0.10552786404500042,0.2230557280900009,210000.0
Random_0000,0.20629379965820233,0.20225993572422307,0.011797633765857959,0.008190500617248119,655.7458038536931,894.8219001251852,0.0874065131497936,0.18681777254634474,210000.0
Random_0001,0.05689224082008395,1.64297956264597,0.046243904903325764,0.011786401514087143,555.9163014127338,819.4310174234304,0.07296802142109705,0.1427239202752289,210000.0
Random_0002,0.24682759566993562,1.7907961169112532,0.026135552306247065,0.010553619441683062,768.5637809077298,1087.9213713463857,0.08811744308538787,0.18155921747160364,210000.0
Random_0003,0.24815127084873634,0.5061496304126814,0.037331885559500774,0.025567667978997552,748.7439236391849,1008.5265104368597,0.05615924170610999,0.10715866199682061,210000.0
Random_0004,0.2785851412649243,0.5406255583521957,0.04015713130238406,0.021208436437255854,776.9868455008218,1046.0520355237306,0.05598354248481046,0.10742085787376493,210000.0
Random_0005,0.07330890932103491,0.41521758715741464,0.0253916594563919,0.023726260983997476,525.291552106926,738.3741372240373,0.07164880215886855,0.14365043614158132,210000.0
Random_0006,0.05937970629140152,0.12830034184444128,0.024085528215632583,0.029401489799147206,493.2857526642715,689.6252331789394,0.06709154383418557,0.1327882804624592,210000.0
Random_0007,0.2759871450731953,1.2885146108973817,0.04593900605483252,0.03472291979265722,817.3411706694002,1117.8681603602818,0.050199393046978374,0.08813401575496083,210000.0
Random_0008,0.06935214760874645,1.7456421184026616,0.036806844882191436,0.011836746321658185,570.5645736975313,842.5650186315296,0.08196125381328946,0.16446507114503905,210000.0
Random_0009,0.24012784818912203,1.7439212544030993,0.015672456886235406,0.021554641277181583,755.9580151876416,1071.4882658299884,0.09060064826619853,0.1863104572670303,210000.0
Random_0010,0.026088607953902086,1.2081529792870103,0.012657413581851261,0.03083358219804229,444.42547269343856,681.8352290874382,0.08895931459301099,0.18052223087406455,210000.0
Random_0011,0.05622133267174375,0.694210286876457,0.0017092493627132816,0.0022695249426569856,461.3364694341995,686.3129635671463,0.10929985586120824,0.23700820200026837,210000.0
Random_0012,0.15152704332962544,0.9897938154104946,0.007256825821731409,0.01104493769147143,621.4207032934619,882.3790447382843,0.09895453735779745,0.21058836931031374,210000.0
Random_0013,0.005938427241526926,0.8240287208500562,0.029217781117811363,0.017664652080035054,365.62267141293034,580.4379760057368,0.07980426912365418,0.16085556496816983,210000.0
Random_0014,0.251355192456028,1.2713333776793607,0.014038111688552464,0.03262986234140524,755.4013306673685,1051.71669285455,0.0804740486348456,0.16228090765770808,210000.0
Random_0015,0.15234859133939008,1.5417396099073488,0.028738365230009225,0.018060174100733104,672.3757655489638,956.0973126831826,0.08091039139705458,0.16310136706181225,210000.0
Random_0016,0.12186556110313991,0.14224704704776978,0.02399818862023017,0.02531877768416612,585.6828513170999,798.6050014056829,0.06765098445849896,0.13557518239523939,210000.0
Random_0017,0.2841034591981689,0.9271195523144249,0.024796428750919863,0.021245490615200327,776.7889496856128,1065.8518407900144,0.07354684400213253,0.14867692025781698,210000.0
Random_0018,0.1255343390976742,1.1997118658173698,0.00444718299051054,0.020046969416925735,600.2368423954233,863.6479289390286,0.09888030722963978,0.2079629534963051,210000.0
Random_0019,0.18499272434901104,1.5133703039073474,0.022061685701278085,0.012809283176172987,695.5055066484578,987.0656739013451,0.0889904598922895,0.18403253223359853,210000.0
Random_0020,0.006737559828653572,1.5373100432773188,0.004801222539730246,0.02010953346869764,367.5183682058365,616.388849629805,0.10734462726101149,0.2247249521186518,210000.0
Random_0021,0.09478652355082459,1.6975621081350858,0.04757331725025412,0.01343610857064094,622.9947112521103,898.2008829402238,0.06994048639667917,0.1354772024650003,210000.0
Random_0022,0.26984164523324594,0.7413051961596502,0.04079349341516525,0.032154900324305444,784.9228628696656,1059.9061365060036,0.051016710833834175,0.09285406417188005,210000.0
Random_0023,0.1983091272182683,0.5345365640736502,0.0077460487723711524,0.017550474418153442,661.0765870330187,912.6842923656579,0.088937254502024,0.18775589972783815,210000.0
Random_0024,0.04970393214069552,1.759218602697298,0.009777211116902274,0.0021814918028807604,495.4817569539019,766.1158808768715,0.11302492520098364,0.24126636923405412,210000.0
Random_0025,0.1699786547544313,0.914731881368837,0.04307127365640836,0.0072724236456307816,679.8480499406683,939.4781525067107,0.06777402479880622,0.13541057067679677,210000.0
Random_0026,0.11130434132058319,1.3169688799819028,0.046622888130976245,0.011210239861526892,630.1492919269912,892.6123266169222,0.06781048451019352,0.13248771782338573,210000.0
Random_0027,0.20798903200664484,0.3832000394751889,0.03726759369763274,0.012434070037821324,697.2892937259447,942.5544204051531,0.0637095611357301,0.12753845677727854,210000.0
Random_0028,0.07690480584827016,0.5366607319053424,0.01916190709321069,0.013813648411764752,521.0324097738993,741.7702997313093,0.08428635873794663,0.17538249527390307,210000.0
Random_0029,0.18572929318635453,1.1349592603641085,0.03773251213965453,0.012503217131615566,701.621734697907,975.1083663691788,0.07126913708730609,0.1424439824661041,210000.0
Random_0030,0.28836334987063394,1.132617241340201,0.03429178327206636,0.027842110691214738,803.5764860887656,1101.6643878996706,0.0630184062708906,0.1211832549564687,210000.0
Random_0031,0.04992784886105381,0.3755464579475395,0.023640147280439217,0.021355407803160677,477.56195241563233,683.3438608318471,0.07519717925210083,0.15239613647076167,210000.0
Random_0032,0.0852532021825506,0.4422297991937072,0.025692133272419298,0.026725895587939107,547.8000888112737,764.8202880117994,0.06942421049397327,0.13788120944380317,210000.0
Random_0033,0.07248256375956885,0.5149946386410946,0.04779005388918775,0.029270824432405328,558.1657282338497,773.2962576468636,0.04919188602421651,0.08755942071979576,210000.0
Random_0034,0.015129370236301166,1.9650723649641018,0.001416312148302544,0.011333513384400348,409.1119212355531,680.3025341753969,0.11911590458520038,0.2531318789573196,210000.0
Random_0035,0.27561062470270775,0.25273666114062576,0.04288106950679607,0.006642418497483169,757.4404376522576,1013.7543645389204,0.05944922677555674,0.11908905834940174,210000.0
Random_0036,0.05787611793010435,1.5908795992685263,0.04487577877399263,0.018968638716819603,559.3268697548501,820.277927805195,0.06932792070711374,0.13311807441790263,210000.0
Random_0037,0.016352686249654993,0.6990799944038222,0.0017493692349282246,0.014617773720112956,371.88934443539097,586.1267443095735,0.10408815095730693,0.22162944473259744,210000.0
Random_0038,0.19949645557165563,0.6039106511673699,0.032948923083606294,0.03717172766831744,708.6810246786974,960.1214658139892,0.05514903391722224,0.10224980753367499,210000.0
Random_0039,0.1425109337824081,0.4935081652645127,0.04621299798734911,0.037888407826761346,659.0058521187116,890.1133405360879,0.04306021469528741,0.07247986706493063,210000.0
Random_0040,0.04479716790610071,1.8093132141593558,0.015315309175082129,0.005998842285589589,496.39159623338736,767.3048507302299,0.10647698022093705,0.22442829985760535,210000.0
Random_0041,0.03983262361880844,1.5429551464618427,0.005333683206523171,0.03076291800064717,481.5609009314897,738.0643103304011,0.09817986337042495,0.20192108625798177,210000.0
